listing_id,property_id,list_date,status,list_price,listing_agent,description
L057,P293,2022-04-29,Sold,53647975,Martin Smith,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L058,P039,2022-10-26,Sold,59840682,Kimberly Patterson,Spacious layout with stone countertops and built-in shelving.
L059,P483,2023-11-05,Pending,11475522,Brent Bruce,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L060,P092,2022-12-08,Active,2550709,Wanda Gonzalez,Enjoy the bonus room and stainless steel appliances in this lovely property.
L061,P552,2023-03-12,Leased,9778156,Travis Williams,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L062,P184,2023-07-14,Active,18531285,Katherine Howard,"Modern design with bonus room, pool with sundeck, breakfast nook."
L063,P330,2023-12-12,Active,11326481,James Livingston,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L064,P820,2022-04-16,Pending,41990401,Rachel Rojas,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L065,P852,2022-09-19,Active,76392471,Brooke Monroe,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L066,P817,2022-11-15,Sold,58759697,Chelsea Green,Enjoy the bonus room and stainless steel appliances in this lovely property.
L067,P041,2023-07-07,Leased,18001712,Cassandra Brown,Relax in the exercise room or entertain in the granite countertops of this home.
L068,P651,2024-02-05,Active,52497044,Natalie Nguyen,Spacious layout with stone countertops and built-in shelving.
L069,P511,2022-06-25,Leased,25300642,Megan Carlson,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L070,P433,2022-02-19,Leased,44174740,Robert Wood,"Charming property offering fireplace, pantry."
L071,P034,2023-11-02,Active,65670899,Kathryn Weaver,Stunning security system and hardwood floors throughout highlight this home's appeal.
L072,P860,2024-01-07,Sold,75564822,Matthew Taylor,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L073,P261,2022-11-25,Pending,7657110,Luis Shields,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L074,P353,2024-02-04,Sold,64160383,Denise Harding,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L075,P565,2022-08-28,Active,18168196,John Thomas,Spacious layout with stone countertops and built-in shelving.
L076,P327,2023-02-06,Active,28759439,Charles Bowers,"Charming property offering fireplace, pantry."
L077,P385,2023-06-14,Leased,85324637,Paul Hays,Stunning security system and hardwood floors throughout highlight this home's appeal.
L078,P493,2022-12-17,Sold,14945525,Anthony Medina,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L079,P754,2022-10-22,Pending,4229621,Martin Anderson,"Modern design with bonus room, pool with sundeck, breakfast nook."
L080,P883,2022-03-15,Sold,40953845,Jessica Gomez,"Modern design with bonus room, pool with sundeck, breakfast nook."
L081,P696,2022-12-05,Leased,69895670,Rachel Good DDS,Spacious layout with stone countertops and built-in shelving.
L082,P369,2024-02-09,Pending,43791872,Courtney Rivers,Relax in the exercise room or entertain in the granite countertops of this home.
L083,P031,2022-03-30,Pending,80052877,Sarah Young,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L084,P417,2023-02-28,Pending,6785622,Michael Snow,"Charming property offering fireplace, pantry."
L085,P311,2022-10-18,Pending,20557334,Nicholas Thomas,"Modern design with bonus room, pool with sundeck, breakfast nook."
L086,P170,2022-10-25,Leased,23054531,Melissa Duke,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L087,P534,2022-04-15,Active,69064609,Scott Chavez,Relax in the exercise room or entertain in the granite countertops of this home.
L088,P498,2022-09-18,Pending,35560501,Chris Rodriguez,Stunning security system and hardwood floors throughout highlight this home's appeal.
L089,P353,2022-07-15,Active,78009897,Christopher Howard,Enjoy the bonus room and stainless steel appliances in this lovely property.
L090,P158,2023-03-30,Sold,96868313,Alexandra Aguilar,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L091,P797,2022-06-09,Sold,87582268,Leslie Gonzales,Spacious layout with stone countertops and built-in shelving.
L092,P030,2023-10-01,Active,15174501,Adam Thomas,Relax in the exercise room or entertain in the granite countertops of this home.
L093,P012,2022-06-26,Sold,74473279,Brian Williams,Spacious layout with stone countertops and built-in shelving.
L094,P054,2023-03-21,Pending,34471055,Brittany Spears,Spacious layout with stone countertops and built-in shelving.
L095,P394,2022-11-21,Leased,17149013,Mark Reese,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L096,P699,2023-02-19,Sold,52240947,Anthony Wells,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L097,P239,2022-12-04,Leased,19528363,Tammie Wilson,Stunning security system and hardwood floors throughout highlight this home's appeal.
L098,P641,2023-05-10,Active,85061072,Victoria Becker,"Modern design with bonus room, pool with sundeck, breakfast nook."
L099,P159,2022-06-14,Active,15955475,Matthew Roy,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L100,P412,2022-10-14,Active,9365193,Jennifer Werner,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L101,P241,2022-08-03,Leased,62196719,Michael Sutton,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L102,P348,2023-12-21,Pending,32759503,Heather Salas,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L103,P688,2022-07-16,Active,69781428,Alyssa Gonzalez,Stunning security system and hardwood floors throughout highlight this home's appeal.
L104,P945,2022-11-13,Leased,96769613,Rebecca Reyes,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L105,P416,2022-10-21,Pending,61139815,Crystal Dorsey,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L106,P214,2022-04-20,Leased,12789319,Darius Meyer,Stunning security system and hardwood floors throughout highlight this home's appeal.
L107,P289,2023-08-16,Sold,33235108,Victoria Elliott,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L108,P709,2023-02-19,Pending,62682554,Charles Zimmerman,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L109,P864,2022-05-02,Active,73362563,Kathryn Martin,Relax in the exercise room or entertain in the granite countertops of this home.
L110,P948,2023-08-14,Active,33096667,Michelle Thomas,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L111,P354,2022-08-14,Active,24060250,Nicole Peterson,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L112,P936,2022-11-15,Pending,25793230,John Murphy,Spacious layout with stone countertops and built-in shelving.
L113,P459,2023-12-11,Pending,49714485,Dr. Jacob Williams,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L114,P033,2022-02-20,Sold,65617796,Gary Myers,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L115,P055,2023-11-08,Active,39366854,Stefanie Rivers,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L116,P650,2023-05-18,Active,23843477,Gregory Mcguire,Stunning security system and hardwood floors throughout highlight this home's appeal.
L117,P527,2022-02-14,Pending,25895912,Timothy Jordan,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L118,P114,2022-03-18,Pending,32040405,Pamela Henry,Spacious layout with stone countertops and built-in shelving.
L119,P344,2022-02-22,Leased,70253330,Sheila Wright,Enjoy the bonus room and stainless steel appliances in this lovely property.
L120,P013,2022-10-31,Sold,80837024,Renee Gardner MD,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L121,P536,2023-03-07,Active,41182121,Karen Lewis,Spacious layout with stone countertops and built-in shelving.
L122,P688,2022-03-15,Active,35293399,Frances Duke,Stunning security system and hardwood floors throughout highlight this home's appeal.
L123,P700,2023-08-14,Pending,92843628,Angela Taylor,"Charming property offering fireplace, pantry."
L124,P759,2022-06-23,Sold,3150145,Sean Wall,Relax in the exercise room or entertain in the granite countertops of this home.
L125,P306,2022-08-26,Active,14777419,Peter Brown,"Charming property offering fireplace, pantry."
L126,P604,2022-12-02,Sold,85432812,Dylan House,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L127,P484,2023-12-01,Pending,89817379,John Tanner,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L128,P342,2023-01-13,Active,67036839,James Munoz,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L129,P232,2023-02-08,Pending,82176917,William Benson,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L130,P385,2022-03-25,Pending,51870874,Michael Hall,Stunning security system and hardwood floors throughout highlight this home's appeal.
L131,P209,2022-03-13,Active,8052899,Lisa Dillon,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L132,P990,2023-03-17,Leased,71142567,Cynthia Alexander,Relax in the exercise room or entertain in the granite countertops of this home.
L133,P133,2023-10-14,Active,2026933,Lisa Carpenter,Enjoy the bonus room and stainless steel appliances in this lovely property.
L134,P055,2022-08-23,Leased,15688949,Ernest Greene,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L135,P199,2022-06-17,Pending,42386612,Timothy Sutton,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L136,P210,2023-03-14,Active,52220881,Judy Ramirez,Enjoy the bonus room and stainless steel appliances in this lovely property.
L137,P889,2023-09-15,Sold,72233916,Jerry Alexander,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L138,P949,2023-10-23,Leased,27144467,April Schneider,"Modern design with bonus room, pool with sundeck, breakfast nook."
L139,P988,2023-12-05,Sold,70604948,Rachel Thomas,Stunning security system and hardwood floors throughout highlight this home's appeal.
L140,P737,2023-03-19,Sold,65512423,Sarah Scott,"Charming property offering fireplace, pantry."
L141,P592,2023-04-15,Active,73572394,Joseph Lee,"Modern design with bonus room, pool with sundeck, breakfast nook."
L142,P170,2022-09-11,Pending,32901245,Debra Horton,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L143,P282,2022-03-09,Pending,97313764,Walter Haley,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L144,P756,2023-07-18,Leased,93363749,Tyler Mitchell,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L145,P428,2023-08-28,Active,89418247,Shari Mccoy,Enjoy the bonus room and stainless steel appliances in this lovely property.
L146,P423,2023-02-13,Active,5345817,Ms. Leslie Galloway,Spacious layout with stone countertops and built-in shelving.
L147,P945,2023-05-05,Active,5826195,Omar Taylor,Spacious layout with stone countertops and built-in shelving.
L148,P625,2024-01-30,Leased,56431410,Justin Deleon,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L149,P086,2023-08-16,Active,44169978,Justin Ross,Stunning security system and hardwood floors throughout highlight this home's appeal.
L150,P984,2022-02-28,Pending,44437340,Olivia Sharp,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L151,P048,2024-02-11,Leased,36940294,Elizabeth Mccoy,Spacious layout with stone countertops and built-in shelving.
L152,P270,2022-03-15,Leased,7209291,Tony Diaz,Stunning security system and hardwood floors throughout highlight this home's appeal.
L153,P658,2022-10-26,Active,38215003,Corey Smith,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L154,P410,2023-07-23,Sold,42243468,Elizabeth Gardner,Spacious layout with stone countertops and built-in shelving.
L155,P254,2022-06-28,Leased,68286853,Bonnie Alexander,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L156,P126,2022-07-29,Leased,75560812,Bethany Brown,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L157,P154,2023-03-15,Leased,93462638,Chelsea Gilbert,Relax in the exercise room or entertain in the granite countertops of this home.
L158,P397,2022-03-29,Pending,99330864,Bonnie Baker,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L159,P748,2024-02-06,Sold,82529783,Melissa Valdez,Stunning security system and hardwood floors throughout highlight this home's appeal.
L160,P440,2023-04-16,Leased,21142187,Gregory White,Stunning security system and hardwood floors throughout highlight this home's appeal.
L161,P082,2023-04-12,Active,58131846,Joshua King,"Charming property offering fireplace, pantry."
L162,P798,2022-03-13,Active,77165009,Andrea Lewis,"Charming property offering fireplace, pantry."
L163,P512,2023-04-28,Active,97157509,Travis Estrada Jr.,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L164,P531,2023-01-24,Sold,70247974,Ian Hall,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L165,P039,2022-04-18,Sold,46894748,Amanda Colon,"Charming property offering fireplace, pantry."
L166,P289,2023-09-06,Active,49853990,Laura Robertson,"Charming property offering fireplace, pantry."
L167,P929,2023-10-31,Pending,15336189,Elizabeth Robinson,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L168,P194,2022-08-14,Leased,41632081,Lisa Foster,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L169,P092,2023-04-18,Leased,29203098,Kevin Price,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L170,P861,2024-02-11,Sold,82144673,Lorraine Reynolds,Stunning security system and hardwood floors throughout highlight this home's appeal.
L171,P639,2022-02-25,Active,19241060,Matthew Cox,Spacious layout with stone countertops and built-in shelving.
L172,P253,2022-11-05,Active,49494693,Amanda Cunningham,Stunning security system and hardwood floors throughout highlight this home's appeal.
L173,P848,2023-11-29,Sold,27498957,Sheila Owens,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L174,P815,2023-05-08,Sold,1400121,Adam Flowers,Stunning security system and hardwood floors throughout highlight this home's appeal.
L175,P009,2023-07-19,Active,54014663,Sarah Reynolds,Enjoy the bonus room and stainless steel appliances in this lovely property.
L176,P259,2022-05-20,Active,24629171,Robin Moore,Stunning security system and hardwood floors throughout highlight this home's appeal.
L177,P220,2022-02-19,Pending,59746829,Jason Hernandez,Relax in the exercise room or entertain in the granite countertops of this home.
L178,P742,2022-09-24,Sold,23224080,Kristina Stanton,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L179,P655,2022-05-04,Active,46743028,Jeffrey Porter,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L180,P109,2022-07-30,Active,50999848,Eric Cortez,Relax in the exercise room or entertain in the granite countertops of this home.
L181,P780,2023-12-19,Leased,9179276,Carrie Gutierrez,Spacious layout with stone countertops and built-in shelving.
L182,P801,2023-11-11,Active,10781345,Susan Ellis,Enjoy the bonus room and stainless steel appliances in this lovely property.
L183,P850,2023-04-24,Leased,80856824,Crystal Kent,Spacious layout with stone countertops and built-in shelving.
L184,P568,2023-02-02,Leased,1526903,Vanessa Diaz MD,"Charming property offering fireplace, pantry."
L185,P090,2023-02-19,Pending,3109808,Joshua Rodriguez,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L186,P256,2022-11-17,Sold,6777073,Lisa Estes,Spacious layout with stone countertops and built-in shelving.
L187,P356,2022-10-27,Pending,68405718,Katherine Shea,"Charming property offering fireplace, pantry."
L188,P055,2023-05-22,Pending,75576349,Timothy Jones,"Charming property offering fireplace, pantry."
L189,P723,2023-11-04,Leased,75543083,Daniel Wilson,Stunning security system and hardwood floors throughout highlight this home's appeal.
L190,P220,2022-09-27,Leased,62272768,Lisa Ho,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L191,P799,2022-03-23,Pending,35719597,Lauren Rojas,"Modern design with bonus room, pool with sundeck, breakfast nook."
L192,P883,2023-07-24,Active,11713621,Katrina Olson,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L193,P359,2023-06-25,Pending,18908368,Daniel Hunter,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L194,P945,2023-08-29,Active,34442462,Connie Gonzales,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L195,P825,2022-04-13,Pending,79098701,Sierra Shields,Stunning security system and hardwood floors throughout highlight this home's appeal.
L196,P278,2023-05-19,Active,69933355,Erik Watson,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L197,P921,2022-07-14,Pending,89129089,Chad Day,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L198,P758,2023-12-19,Pending,26819998,Jessica Salas,Relax in the exercise room or entertain in the granite countertops of this home.
L199,P117,2023-05-19,Sold,17351354,Paul Morgan,Spacious layout with stone countertops and built-in shelving.
L200,P973,2023-03-09,Active,29134664,Brittany Arnold,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L201,P794,2022-03-17,Leased,33363743,Albert Mitchell,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L202,P833,2022-11-28,Active,97007624,Anthony Simmons,Spacious layout with stone countertops and built-in shelving.
L203,P609,2022-12-19,Pending,88066549,Jerry Howell,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L204,P270,2022-07-27,Pending,31750560,Omar Page,Enjoy the bonus room and stainless steel appliances in this lovely property.
L205,P966,2022-07-01,Pending,94081786,Sheri Mitchell,Relax in the exercise room or entertain in the granite countertops of this home.
L206,P706,2022-04-02,Leased,1868959,Katie Sullivan,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L207,P781,2023-11-23,Leased,95102022,Roger Patrick,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L208,P479,2022-03-20,Sold,67018337,Monique Hobbs,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L209,P256,2023-11-02,Sold,34307671,Haley Dunn,Relax in the exercise room or entertain in the granite countertops of this home.
L210,P853,2022-08-29,Sold,27113533,Troy Rasmussen,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L211,P322,2022-09-14,Active,35670046,Alan Miller,Stunning security system and hardwood floors throughout highlight this home's appeal.
L212,P461,2023-12-21,Leased,3204026,Rachel Smith,Spacious layout with stone countertops and built-in shelving.
L213,P970,2023-02-21,Sold,75979119,Phillip Hopkins,Enjoy the bonus room and stainless steel appliances in this lovely property.
L214,P031,2023-11-19,Sold,18815674,Harold Durham,Relax in the exercise room or entertain in the granite countertops of this home.
L215,P173,2023-03-30,Leased,3234892,Michael Campbell,"Modern design with bonus room, pool with sundeck, breakfast nook."
L216,P487,2022-08-30,Active,77593806,Michael Yang,"Modern design with bonus room, pool with sundeck, breakfast nook."
L217,P013,2022-09-16,Pending,25528528,Colton Burke,Enjoy the bonus room and stainless steel appliances in this lovely property.
L218,P276,2022-02-22,Sold,28072705,Dr. Russell Adkins II,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L219,P542,2022-03-26,Active,30920627,Shelly Hurst,Relax in the exercise room or entertain in the granite countertops of this home.
L220,P148,2022-03-10,Pending,43681141,John Parks,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L221,P966,2023-01-20,Leased,6956354,Michelle Hawkins,Relax in the exercise room or entertain in the granite countertops of this home.
L222,P579,2022-09-26,Leased,72574182,Deborah Potter,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L223,P178,2023-11-17,Leased,73740582,Stephanie Miller,Stunning security system and hardwood floors throughout highlight this home's appeal.
L224,P868,2023-08-08,Sold,76050306,Benjamin Mcdaniel,Stunning security system and hardwood floors throughout highlight this home's appeal.
L225,P105,2022-11-14,Active,3452498,Mike Taylor,Stunning security system and hardwood floors throughout highlight this home's appeal.
L226,P747,2022-12-01,Active,17894285,Kathryn Andrews,"Modern design with bonus room, pool with sundeck, breakfast nook."
L227,P623,2023-03-18,Leased,76832378,Michael Edwards,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
